This list was generated with meta-movie. [https://www.github.com/akhilnareshkumar/meta-movie] 


Movie Title                              Rating    
Tinker Tailor Soldier Spy                6.6       
Old School                               6.6       
Time Bandits                             6.6       
Tron                                     6.6       
Eight Below                              6.6       
Crying Fist                              6.5       
Happy Gilmore                            6.5       
Friends with Benefits                    6.5       
Sleepless in Seattle                     6.5       
Step Brothers                            6.5       
Vanilla Sky                              6.5       
Man of Steel                             6.5       
Michael Clayton                          6.5       
Udaan                                    6.5       
Paul                                     6.5       
The Wedding Singer                       6.5       
Kill the Messenger                       6.5       
Panic Room                               6.5       
James Bond                               6.5       
Dumb and Dumber                          6.5       
Planet Terror                            6.5       
Tropic Thunder                           6.4       
Oblivion                                 6.4       
Epic                                     6.4       
Risky Business                           6.4       
Get Shorty                               6.3       
The Rundown                              6.3       
This Is the End                          6.3       
Smashed                                  6.3       
Spectre                                  6.3       
Running                                  6.3       
Green Zone                               6.3       
Hitchcock                                6.3       
Room 237                                 6.2       
Talladega Nights: The Ballad of Ric      6.2       
Gangster Squad                           6.2       
The Internship                           6.1       
Babe                                     6         
New                                      6         
Mushi-Shi: The Movie                     6         
The Invention of Lying                   6         
Walking Tall                             6         
Stand Up Guys                            5.9       
Don Jon                                  5.9       
Into the Blue                            5.8       
The Baytown Outlaws                      5.8       
Devil                                    5.8       
Disclosure                               5.8       
Original Sin                             5.8       
Batman v Superman: Dawn of Justice       5.7       
Mr. Deeds                                5.6       
You Don't Mess with the Zohan            5.5       
Death at a Funeral                       5.5       
Ghostbusters                             5.3       
Snakes on a Plane                        5.1       
How to Make Love to a Woman              4.9       
Underground                              4.8       
The Disappointments Room                 4.3       
The Starving Games                       4.1       
X-Men: The Legend of Wolverine           0         
War and Games                            0         
Captain Marvel                           0         
The Great Beauty: Colombia               0         
Bhoomi Malayalam                         0         
Bioscope (Marathi Movie)                 0         
